number,habitat,nest,plot.id,location,plant,species,ht_cm
3257,CD,3,1,nest,NA,NA,NA
3258,CD,3,2,adjacent,NA,NA,NA
3259,CD,3,3,far,NA,NA,NA
1,CD,4,4,nest,1,Planta.17,7
2,CD,4,5,adjacent,2,Car.cal,9
3,CD,4,5,adjacent,3,Planta.17,8
4,CD,4,5,adjacent,4,Vir.seb,10
5,CD,4,5,adjacent,5,Vir.seb,9
6,CD,4,5,adjacent,6,Vir.seb,9
7,CD,4,5,adjacent,7,Vir.seb,10
8,CD,4,5,adjacent,8,Ser.ere,10
9,CD,4,5,adjacent,9,Vir.seb,8
10,CD,4,5,adjacent,10,Mic.alb,1
11,CD,4,5,adjacent,11,Mic.alb,1
12,CD,4,5,adjacent,12,Ban.ste,30
13,CD,4,5,adjacent,13,Vir.seb,7
14,CD,4,5,adjacent,14,Ban.ste,17
15,CD,4,5,adjacent,15,Qua.mul,5
16,CD,4,5,adjacent,16,Ser.ere,8
17,CD,4,5,adjacent,17,Ser.ere,7
18,CD,4,5,adjacent,18,Ser.ere,55
19,CD,4,5,adjacent,19,Planta.111,9
20,CD,4,5,adjacent,20,Car.cal,5
21,CD,4,5,adjacent,21,Mic.alb,3
22,CD,4,5,adjacent,22,Gua.gra,11
23,CD,4,5,adjacent,23,Gua.gra,8
24,CD,4,5,adjacent,24,Gua.gra,12
25,CD,4,5,adjacent,25,Qua.mul,4
26,CD,4,5,adjacent,26,Myr.ros,7
27,CD,4,5,adjacent,27,Mic.alb,4
28,CD,4,6,far,28,Eug.cal,15
29,CD,4,6,far,29,Vir.seb,9
30,CD,4,6,far,30,Gua.gra,10
31,CD,4,6,far,31,Ali.myr,2
32,CD,4,6,far,32,Ali.myr,2
33,CD,4,6,far,33,Ali.myr,2
34,CD,4,6,far,34,Bro.gau,30
35,CD,4,6,far,35,Eug.cal,92
36,CD,4,6,far,36,Cou.hyd,124
37,CD,4,6,far,37,Ali.myr,8
38,CD,4,6,far,38,Our.hex,20
39,CD,4,6,far,39,Bro.gau,13
40,CD,4,6,far,40,Vir.seb,16
41,CD,4,6,far,41,Ver.pol,45
42,CD,4,6,far,42,Ver.pol,80
43,CD,4,6,far,43,Ban.ste,70
44,CD,4,6,far,44,Ali.myr,4
45,CD,4,6,far,45,Map.gui,24
46,CD,4,6,far,46,Cli.gui,17
47,CD,4,6,far,47,Smi.bra,7
48,CD,4,6,far,48,Smi.bra,12
49,CD,4,6,far,49,Mic.alb,7
50,CD,4,6,far,50,Ali.myr,50
51,CD,4,6,far,51,Ali.myr,35
52,CD,4,6,far,52,Ali.myr,32
53,CD,4,6,far,53,Ali.myr,26
54,CD,4,6,far,54,Dav.eli,25
55,CD,4,6,far,55,Map.gui,40
56,CD,4,6,far,56,Planta.23,5
57,CD,4,6,far,57,Mic.alb,1
58,CD,4,6,far,58,Xyl.aro,52
59,CD,5,7,nest,1,Cou.hyd,4
60,CD,5,7,nest,2,Ban.ani,4
61,CD,5,7,nest,3,Ban.ani,2
62,CD,5,7,nest,4,Ban.ani,2
63,CD,5,7,nest,5,Ban.ani,2
64,CD,5,7,nest,6,Ban.ani,2
65,CD,5,7,nest,7,Ali.myr,2
66,CD,5,7,nest,8,Rud.vib,5
67,CD,5,7,nest,9,Ban.ani,3
68,CD,5,7,nest,10,Ban.ani,3
69,CD,5,7,nest,11,Gua.nox,5
70,CD,5,7,nest,12,Qua.gra,4
71,CD,5,7,nest,12,Rud.vib,5
72,CD,5,7,nest,13,Ban.ani,3
73,CD,5,7,nest,14,Cou.hyd,5
92,CD,5,7,nest,32,Smi.bra,15
74,CD,5,8,adjacent,15,Qua.par,12
75,CD,5,8,adjacent,16,Cas.sil,7
76,CD,5,8,adjacent,16,Gua.gra,8
77,CD,5,8,adjacent,17,Ser.ere,80
78,CD,5,8,adjacent,18,Eug.cal,74
79,CD,5,8,adjacent,19,Mat.gui,7
80,CD,5,8,adjacent,20,Mat.gui,9
81,CD,5,8,adjacent,21,Vat.mac,35
82,CD,5,8,adjacent,22,Ban.ani,7
83,CD,5,8,adjacent,23,Car.cal,7
84,CD,5,8,adjacent,24,Ban.ani,4
85,CD,5,8,adjacent,25,Car.cal,8
86,CD,5,8,adjacent,26,Map.gui,23
87,CD,5,8,adjacent,27,Myr.ros,24
88,CD,5,8,adjacent,28,Planta.65,11
89,CD,5,8,adjacent,29,Car.cal,8
90,CD,5,8,adjacent,30,Map.gui,9
91,CD,5,8,adjacent,31,Ali.myr,21
93,CD,5,8,adjacent,33,Ali.myr,85
94,CD,5,8,adjacent,34,Ver.pol,18
95,CD,5,8,adjacent,35,Ban.ani,2
96,CD,5,8,adjacent,36,Map.gui,41
97,CD,5,8,adjacent,37,Vat.mac,12
98,CD,5,8,adjacent,38,Smi.bra,73
99,CD,5,8,adjacent,39,Ali.myr,23
100,CD,5,8,adjacent,40,Ali.myr,85
101,CD,5,8,adjacent,41,Myr.ros,29
102,CD,5,8,adjacent,42,Myr.var,58
103,CD,5,8,adjacent,43,Rud.vib,3
104,CD,5,8,adjacent,44,Myr.ros,17
105,CD,5,8,adjacent,45,Myr.ros,33
106,CD,5,8,adjacent,46,Vir.seb,10
107,CD,5,8,adjacent,47,Vir.seb,14
108,CD,5,8,adjacent,48,Ban.ani,7
109,CD,5,8,adjacent,49,Ban.ani,1
110,CD,5,8,adjacent,50,Ban.ani,3
111,CD,5,8,adjacent,51,Ban.ani,4
112,CD,5,8,adjacent,52,Ban.ani,7
113,CD,5,8,adjacent,53,Car.cal,19
114,CD,5,8,adjacent,54,Planta.29,53
