habitat,nest,plot.id,location,perc.cover,litter.bmass,soil.pen,grass.bmass,ph,P,K,Ca,Mg,Al,org.mat,soil.moisture.surface,soil.moisture.deep,peak.soil.temp,date.peak.soil.tem,time.peak.soil.temp,nest.area
CD,3,1,nest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CD,3,2,adjacent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CD,3,3,far,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CD,4,4,nest,89,171.8,5.3,0,5.1,1.3,21,0.6,0.1,0.3,1.3,4.8,5.9,40,22/set,12:00,36.2
CD,4,5,adjacent,89,747.3,5.7,8.6,NA,NA,NA,NA,NA,NA,NA,5.6,5.9,27,22/set,12:00,36.2
CD,4,6,far,92,796.6,5,16.6,4.7,1.5,24,0.5,0.1,0.8,2.3,5.6,6,30,22/set,12:00,36.2
CD,5,7,nest,72,122.7,5,0,5.1,0.8,31,0.6,0.1,0.45,1.1,3.1,4.3,49,22/set,13:00,18
CD,5,8,adjacent,73,909.9,6.6,1.6,NA,NA,NA,NA,NA,NA,NA,4.8,5.3,33,22/set,13:00,18
CD,5,9,far,53,1024,5.2,25.1,4.9,1.3,31,0.5,0.1,0.85,1.9,4.3,5.9,30,22/set,13:00,18
CD,6,10,nest,88,258.6,8.5,0,4.8,1.4,37,0.6,0.1,0.45,1.3,3.3,4,35,16/set,12:00,12.2
CD,6,11,adjacent,87,864.2,5.7,0,NA,NA,NA,NA,NA,NA,NA,5.5,5.5,29,16/set,12:00,12.2
CD,6,12,far,89,1034.4,6.3,18.9,4.7,1.6,25,0.5,0.1,0.9,1.6,4,4.5,25,16/set,12:00,12.2
CD,7,13,nest,71,367,8.5,0,5.4,0.8,14,0.5,0,0.35,0.8,3,5.8,38,21/set,13:00,18.8
CD,7,14,adjacent,72,784.6,6.3,4.6,NA,NA,NA,NA,NA,NA,NA,4.6,5.7,28,21/set,13:00,18.8
CD,7,15,far,83,1170,6.4,1.7,4.9,1.7,24,0.5,0.1,0.85,1.7,5.7,3.8,33,21/set,13:00,18.8
CD,8,16,nest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,16/set,12:30,
CD,8,17,adjacent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16/set,12:30,
CD,8,18,far,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,16/set,12:30,
CD,9,19,nest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,16/set,13:00,
CD,9,20,adjacent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,16/set,13:00,
CD,9,21,far,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,16/set,13:00,
CR,10,22,nest,48,36.2,5.3,0,NA,NA,NA,NA,NA,NA,NA,3,4.5,51,18/set,12:00,17.7
CR,10,23,adjacent,28,181.2,2.8,201.7,NA,NA,NA,NA,NA,NA,NA,3.1,4.6,33,18/set,12:00,17.7
CR,10,24,far,14,127.2,3.7,329.1,NA,NA,NA,NA,NA,NA,NA,3.5,2.3,39,18/set,12:00,17.7
CD,11,25,nest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,21/set,12:30,
CD,11,26,adjacent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,21/set,12:30,
CD,11,27,far,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,21/set,12:30,
CD,12,28,nest,71,99.6,12.2,0,5.1,0.5,20,0.5,0.1,0.4,1,2.1,5.9,56,21/set,13:25,10.7
CD,12,29,adjacent,60,1257.6,6.2,48.9,NA,NA,NA,NA,NA,NA,NA,5.1,5.5,31,21/set,13:25,10.7
CD,12,30,far,66,140.6,4.7,13,4.8,1.2,22,0.6,0.1,0.85,1.9,4.9,5.2,35,21/set,13:25,10.7
CD,15,31,nest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,27/set,12:00,
CD,15,32,adjacent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,27/set,12:00,
CD,15,33,far,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,27/set,12:00,
CR,18,34,nest,23,199,9.6,64.5,5.3,0.1,35,0.6,0.1,0.25,1,2,4.6,61,18/set,12:30,16
CR,18,35,adjacent,60,391.6,5.5,267.9,NA,NA,NA,NA,NA,NA,NA,4.1,3.8,33,18/set,12:30,16
CR,18,36,far,30,382.9,6,279.4,4.9,1.1,24,0.6,0.1,0.75,1.5,5.1,4.5,37,18/set,12:30,16
CR,19,37,nest,35,117.5,7,10.9,NA,NA,NA,NA,NA,NA,NA,4.1,5.8,NA,NA,NA,7.6
CR,19,38,adjacent,46,518.3,4.9,129.2,NA,NA,NA,NA,NA,NA,NA,5.5,4.4,NA,NA,NA,7.6
CR,19,39,far,36,522.9,4.7,178.6,NA,NA,NA,NA,NA,NA,NA,5.3,4.4,NA,NA,NA,7.6
CR,20,40,nest,5,100.3,4.1,90.5,4.9,0.7,27,0.7,0.1,0.45,1.6,3.1,4.7,50,18/set,13:00,15.8
CR,20,41,adjacent,5,188.7,3.3,272.2,NA,NA,NA,NA,NA,NA,NA,3.2,5,29,18/set,13:00,15.8
CR,20,42,far,15,73.2,3.1,379.4,5.1,1.5,29,0.7,0.2,0.7,1.6,3.2,4.9,33,18/set,13:00,15.8
CR,21,43,nest,6,55.1,8.4,48.3,NA,NA,NA,NA,NA,NA,NA,2.4,4,56,18/set,13:30,19.9
CR,21,44,adjacent,49,576.5,5.3,240.4,NA,NA,NA,NA,NA,NA,NA,5.3,4.5,35,18/set,13:30,19.9
CR,21,45,far,41,665.2,4.4,205.7,NA,NA,NA,NA,NA,NA,NA,4.5,4.8,31,18/set,13:30,19.9
CR,22,46,nest,57,72.7,8.2,0,5.3,0.3,14,0.6,0,0.15,0.8,1.9,5.2,54,17/set,14:00,13.5
CR,22,47,adjacent,44,394,5.1,175,NA,NA,NA,NA,NA,NA,NA,3.5,4.1,30,17/set,14:00,13.5
