spp.code,Genus,Species,Author,Habit
Ana.hum,Anacardium,humile,A.St.-Hil.    ,shrub
And.pan,Andira,vermifuga,(Mart.) Benth.   ,tree
Ann.dio,Annona,dioica,A.St.-Hil.    ,tree
Ann.tom,Annona,tomentosa,R.E. Fr.   ,tree
Ari.sp,Aristolochia,esperanzae,Kuntze.    ,vine
Asp.mac,Aspidosperma,macrocarpon,Mart.    ,tree
Asp.tom,Aspidosperma,tomentosum,Mart..    ,tree
Ban.ani,Banisteriopsis,anisandra,(A.Juss.) B.Gates   ,vine
Ban.ste,Banisteriopsis,stellaris,(Griseb.) B. Gates  ,vine
Bau.ruf,Bauhinia,rufa,(Bong.) Steudel.   ,tree
Bow.vir,Bowdichia,virgilioides,Kunth.    ,tree
Bre.flo,Bredemeyera,floribunda,Willd.    ,shrub
Bro.gau,Brosimum,gaudichaudii,TrÈcul    ,tree
Byr.int,Byrsonima,intermedia,A.Juss.    ,shrub
Car.cal,Cardiopetalum,calophyllum,Schltdl.    ,tree
Cas.sil,Casearia,sylvestris,Sw.    ,shrub
Cis.ova,Cissampelos,ovalifolia,DC.    ,herb
Cli.gui,Clitoria,guianensis,(Aubl.) Benth.   ,herb
Cli.sp2,Clitoria,sp,    ,herb
Con.sub,Connarus,suberosus,Planch.    ,shrub
Ali.myr,Cordiera,myrciifolia,(K.Schum.) C.H.Perss. & Delprete. ,shrub
Ali.obt,Cordiera,obtusa,(K.Schum.) Kuntze.   ,shrub
Ali.ses,Cordiera,sessilis,(Vell.) Kuntze.   ,tree
Cou.hyd,Coussarea,hydrangeifolia,(Benth.) M¸ll. Arg.  ,tree
Dal.mis,Dalbergia,miscolobium,Benth.    ,tree
Dav.eli,Davilla,elliptica,A. St.-Hil.   ,shrub
Dim.mol,Dimorphandra,mollis,Benth.    ,tree
Ery.dec,Erythroxylum,deciduum,A.St.-Hil.    ,shrub
Ery.sub,Erythroxylum,suberosum,A.St.-Hil.    ,shrub
Ery.tor,Erythroxylum,tortuosum,Mart.    ,shrub
Eug.cal,Eugenia,involucrata,DC..    ,shrub
Eug.sp2,Eugenia,sp1,    ,shrub
Eug.ube,Eugenia,sp2,    ,shrub
Eup.sp1,Eupatorium,sp1,    ,herb
Eup.sp3,Eupatorium,sp2,    ,herb
Eup.sp4,Eupatorium,sp3,    ,herb
Eup.sp5,Eupatorium,sp4,    ,herb
Eup.sp6,Eupatorium,sp5,    ,herb
Eup.sp7,Eupatorium,sp6,    ,herb
Arr.bra,Fridericia,platyphylla,(Cham.) L.G.Lohmann.   ,shrub
Gog.pol,Gochnatia,polymorpha,(Less.) Cabrera.   ,shrub
Gua.gra,Guapira,graciliflora,(Mart. ex J.A. Schmidt) Lundell,tree
Gua.nox,Guapira,noxia,(Netto) Lundell   ,tree
Het.cam,Heteropterys,campestris,A. Juss.   ,shrub
Him.obo,Himatanthus,obovatus,(M¸ll.Arg.) Woodson   ,shrub
Hir.sp,Hirtella,glandulosa,Spreng    ,tree
Aco.das,Leptolobium,dasycarpum,Vogel.    ,tree
Aco.sub,Leptolobium,elegans,Vogel.    ,tree
Manihot.sp,Manihot,sp,    ,shrub
Map.gui,Maprounea,guianensis,Aubl.    ,tree
Mat.gui,Matayba,guianensis,Aubl.    ,tree
Mer.tom,Merremia,tomentosa,Hallier    ,herb
Mic.alb,Miconia,albicans,(Sw.) Steud.   ,tree
Mic.fal,Miconia,fallax,DC.    ,shrub
Planta.10,Morphospecies,sp_1,    ,herb
Planta.100,Morphospecies,sp_2,    ,herb
Planta.104,Morphospecies,sp_3,    ,herb
Planta.111,Morphospecies,sp_4,    ,herb
Planta.113,Morphospecies,sp_5,    ,shrub
Planta.115,Morphospecies,sp_6,    ,herb
Planta.117,Morphospecies,sp_7,    ,herb
Planta.118,Morphospecies,sp_8,    ,shrub
Planta.12,Morphospecies,sp_9,    ,herb
Planta.121,Morphospecies,sp_10,    ,herb
Planta.124,Morphospecies,sp_11,    ,shrub
Planta.127,Morphospecies,sp_12,    ,herb
Planta.13,Morphospecies,sp_13,    ,herb
Planta.15,Morphospecies,sp_14,    ,shrub
Planta.151,Morphospecies,sp_15,    ,herb
Planta.154,Morphospecies,sp_16,    ,herb
Planta.155,Morphospecies,sp_17,    ,tree
Planta.158,Morphospecies,sp_18,    ,shrub
Planta.159,Morphospecies,sp_19,    ,herb
Planta.16,Morphospecies,sp_20,    ,herb
Planta.160,Morphospecies,sp_21,    ,herb
Planta.161,Morphospecies,sp_22,    ,shrub
Planta.162,Morphospecies,sp_23,    ,shrub
Planta.164,Morphospecies,sp_24,    ,shrub
Planta.165,Morphospecies,sp_25,    ,herb
Planta.166,Morphospecies,sp_26,    ,herb
Planta.167,Morphospecies,sp_27,    ,herb
Planta.169,Morphospecies,sp_28,    ,shrub
Planta.17,Morphospecies,sp_29,    ,herb
Planta.175,Morphospecies,sp_30,    ,herb
Planta.177,Morphospecies,sp_31,    ,shrub
Planta.179,Morphospecies,sp_32,    ,herb
Planta.18,Morphospecies,sp_33,    ,herb
Planta.181,Morphospecies,sp_34,    ,herb
Planta.184,Morphospecies,sp_35,    ,herb
Planta.185,Morphospecies,sp_36,    ,herb
Planta.186,Morphospecies,sp_37,    ,herb
Planta.198,Morphospecies,sp_38,    ,shrub
Planta.2,Morphospecies,sp_39,    ,herb
Planta.20,Morphospecies,sp_40,    ,shrub
Planta.200,Morphospecies,sp_41,    ,herb
Planta.201,Morphospecies,sp_42,    ,herb
Planta.206,Morphospecies,sp_43,    ,herb
Planta.21,Morphospecies,sp_44,    ,herb
Planta.214,Morphospecies,sp_45,    ,herb
Planta.22,Morphospecies,sp_46,    ,shrub
Planta.23,Morphospecies,sp_47,    ,shrub
Planta.24,Morphospecies,sp_48,    ,herb
Planta.25,Morphospecies,sp_49,    ,shrub
Planta.26,Morphospecies,sp_50,    ,herb
Planta.27,Morphospecies,sp_51,    ,herb
Planta.28,Morphospecies,sp_52,    ,herb
Planta.29,Morphospecies,sp_53,    ,herb
Planta.31,Morphospecies,sp_54,    ,herb
Planta.32,Morphospecies,sp_55,    ,herb
Planta.33,Morphospecies,sp_56,    ,shrub
Planta.34,Morphospecies,sp_57,    ,shrub
Planta.35,Morphospecies,sp_58,    ,herb
Planta.37,Morphospecies,sp_59,    ,shrub
Planta.38,Morphospecies,sp_60,    ,herb
Planta.4,Morphospecies,sp_61,    ,herb
Planta.43,Morphospecies,sp_62,    ,shrub
Planta.45,Morphospecies,sp_63,    ,shrub
Planta.47,Morphospecies,sp_64,    ,shrub
Planta.48,Morphospecies,sp_65,    ,shrub
Planta.49,Morphospecies,sp_66,    ,shrub
Planta.50,Morphospecies,sp_67,    ,herb
Planta.53,Morphospecies,sp_68,    ,herb
Planta.54,Morphospecies,sp_69,    ,herb
Planta.55,Morphospecies,sp_70,    ,herb
Planta.6,Morphospecies,sp_71,    ,herb
Planta.60,Morphospecies,sp_72,    ,herb
Planta.61,Morphospecies,sp_73,    ,herb
Planta.63,Morphospecies,sp_74,    ,shrub
Planta.64,Morphospecies,sp_75,    ,shrub
Planta.65,Morphospecies,sp_76,    ,shrub
Planta.66,Morphospecies,sp_77,    ,shrub
Planta.67,Morphospecies,sp_78,    ,shrub
Planta.69,Morphospecies,sp_79,    ,herb
Planta.75,Morphospecies,sp_80,    ,herb
Planta.76,Morphospecies,sp_81,    ,shrub
Planta.77,Morphospecies,sp_82,    ,herb
Planta.79,Morphospecies,sp_83,    ,herb
Planta.8,Morphospecies,sp_84,    ,herb
Planta.80,Morphospecies,sp_85,    ,shrub
Planta.81,Morphospecies,sp_86,    ,shrub
Planta.89,Morphospecies,sp_87,    ,herb
Planta.9,Morphospecies,sp_88,    ,shrub
Planta.91,Morphospecies,sp_89,    ,herb
Planta.92,Morphospecies,sp_90,    ,herb
Planta.93,Morphospecies,sp_91,    ,herb
Planta.95,Morphospecies,sp_92,    ,herb
Planta.97,Morphospecies,sp_93,    ,tree
Planta.98,Morphospecies,sp_94,    ,shrub
Myr.gui,Myrcia,guianensis,(Aubl.) DC.   ,tree
Myr.ros,Myrcia,splendens,(Sw.) DC..   ,tree
Myr.tom,Myrcia,tomentosa,(Aubl.) DC.   ,tree
Myr.var,Myrcia,variabilis,DC..    ,tree
Myrs.gui,Myrsine,guianensis,(Aubl.) Kuntze   ,tree
Nee.the,Neea,theifera,Oerst.    ,shrub
Oco.cor,Ocotea,corymbosa,(Meisn.) Mez.   ,tree
Oco.puc,Ocotea,pulchella,(Nees & Mart.) Mez. ,tree
Our.cas,Ouratea,castaneifolia,(DC.) Engl.   ,tree
Our.hex,Ouratea,hexasperma,(A.St.-Hil.) Baill.   ,tree
Our.nan,Ouratea,nana,Engl.    ,shrub
Pal.rig,Palicourea,rigida,Kunth    ,shrub
Pav.ros,Pavonia,rosa-campestris,St. Hil.   ,herb
Per.gla,Pera,glabrata,(Schott) Baill.   ,tree
Pla.ret,Plathymenia,reticulata,Benth.    ,tree
Aus.pol,Plenckia,populnea,Reissek.    ,tree
Pou.ram,Pouteria,ramiflora,(Mart.) Radlk.   ,tree
Pro.epi,Protium,heptaphyllum,(Aubl.) Marchand   ,shrub
Qua.gra,Qualea,grandiflora,Mart.    ,tree
Qua.mul,Qualea,multiflora,Mart.    ,tree
Qua.par,Qualea,parviflora,Mart.    ,tree
Rou.mon,Roupala,montana,Aubl.    ,tree
Rou.ind,Rourea,induta,Planch.    ,shrub
Rud.vib,Rudgea,viburnoides,(Cham.) Benth.   ,tree
Seb.del,Sebastiana,sp,    ,herb
Sec.riv,Securidaca,rivinifolia,A.W. Benn.   ,shrub
Ser.ere,Serjania,erecta,Radlk.    ,vine
Sip.gui,Siparuna,guianensis,Aubl.    ,tree
